DATA_REF;Visao;Modalidade;Porte;Beneficiarios_Ativos
2025-03;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Grande;2767046
2025-03;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Médio;1271953
2025-03;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Pequeno;424033
2025-03;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Grande;13905102
2025-03;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Médio;848378
2025-03;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Pequeno;494871
2025-03;Médico-Hospitalar;AUTOGESTÃO;Grande;3009366
2025-03;Médico-Hospitalar;AUTOGESTÃO;Médio;978535
2025-03;Médico-Hospitalar;AUTOGESTÃO;Pequeno;583256
2025-03;Médico-Hospitalar;COOPERATIVA MÉDICA;Grande;12733084
2025-03;Médico-Hospitalar;COOPERATIVA MÉDICA;Médio;5104157
2025-03;Médico-Hospitalar;COOPERATIVA MÉDICA;Pequeno;1027683
2025-03;Médico-Hospitalar;FILANTROPIA;Grande;376015
2025-03;Médico-Hospitalar;FILANTROPIA;Médio;529902
2025-03;Médico-Hospitalar;FILANTROPIA;Pequeno;174980
2025-03;Médico-Hospitalar;MEDICINA DE GRUPO;Grande;16704551
2025-03;Médico-Hospitalar;MEDICINA DE GRUPO;Médio;3071240
2025-03;Médico-Hospitalar;MEDICINA DE GRUPO;Pequeno;928144
2025-03;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Grande;6801221
2025-03;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Médio;33640
2025-03;Médico-Hospitalar;SEGURADORA ESPECIALIZADA EM SAÚDE;Pequeno;7534
2025-04;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Grande;2772007
2025-04;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Médio;1278161
2025-04;Exclusivamente Odontológico;COOPERATIVA ODONTOLÓGICA;Pequeno;424140
2025-04;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Grande;13887774
2025-04;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Médio;846091
2025-04;Exclusivamente Odontológico;ODONTOLOGIA DE GRUPO;Pequeno;497566
2025-04;Médico-Hospitalar;AUTOGESTÃO;Grande;3004900
2025-04;Médico-Hospitalar;AUTOGESTÃO;Médio;979021
2025-04;Médico-Hospitalar;AUTOGESTÃO;Pequeno;582071
2025-04;Médico-Hospitalar;COOPERATIVA MÉDICA;Grande;12920539
